,Date_x,Open,High,Low,Close,Adj Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
123,2020-04-07,2.81,2.81,2.65,2.7,2.7,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
124,2020-04-08,2.76,2.8,2.71,2.74,2.74,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
125,2020-04-09,2.82,2.82,2.63,2.67,2.67,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
126,2020-04-13,2.67,2.97,2.63,2.97,2.97,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
127,2020-04-14,3.15,3.16,2.92,3.01,3.01,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
128,2020-04-15,2.95,3.2,2.88,3.2,3.2,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
129,2020-04-16,3.3,3.41,3.2,3.25,3.25,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
130,2020-04-17,3.36,3.36,3.15,3.21,3.21,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
131,2020-04-20,3.18,3.35,3.05,3.19,3.19,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
132,2020-04-21,3.1,3.22,3.01,3.02,3.02,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
